prenom , date , fete_principale , rare

// Liste des fête du jour ne correpondant pas à des prénoms

"Béranger" ;		26/05 ; 0 ; 1
"Bérangère" ;		26/05 ; 0 ; 1
"Bérénice" ;		04/02 ; 0 ; 1
"Bérenger" ;		26/05 ; 1 ; 0
"Bérengère" ;		26/05 ; 0 ; 0
"Bernadette" ;		18/02 ; 1 ; 0
"Bernard" ;			20/08 ; 1 ; 0
"Bernardin" ;		20/05 ; 1 ; 0
"Berthe" ;			04/07 ; 0 ; 1
"Bertille" ;		06/11 ; 1 ; 0
"Bertrand" ;		06/09 ; 1 ; 0
"Bianca" ;			03/10 ; 0 ; 1
"Blaise" ;			03/02 ; 1 ; 0
"Blanche" ;			03/10 ; 0 ; 0
"Blandine" ;		02/06 ; 1 ; 0
"Boniface" ;		05/06 ; 0 ; 1
"Boris" ;			02/05 ; 1 ; 0
"Brice" ;			13/11 ; 1 ; 0
"Brigitte" ;		23/07 ; 1 ; 0
"Bruno" ;			06/10 ; 1 ; 0
"Calvin" ;			xx/xx ; 0 ; 0
"Camélia" ;			05/10 ; 0 ; 0
"Camille" ;			14/07 ; 0 ; 0
"Candice" ;			14/06 ; 0 ; 1
"Candy" ;			03/10 ; 0 ; 0
"Capucine" ;		05/10 ; 0 ; 0
"Carine" ;			07/11 ; 1 ; 0
"Carl" ;			04/11 ; 0 ; 0
"Carle" ;			xx/xx ; 0 ; 1
"Carlos" ;			04/11 ; 0 ; 0
"Carmen" ;			16/07 ; 0 ; 1
"Carole" ;			17/07 ; 0 ; 0
"Caroline" ;		17/07 ; 0 ; 0
"Casimir" ;			04/03 ; 1 ; 0
"Cassandra" ;		xx/xx ; 0 ; 0
"Cassandre" ;		xx/xx ; 0 ; 0
"Catalina" ;		25/11 ; 0 ; 1 ; ou le 24/03 ?
"Catarina" ;		25/11 ; 0 ; 1 ; ou le 24/03 ?
"Cateline" ;		25/11 ; 0 ; 1 ; ou le 24/03 ?
"Caterina" ;		25/11 ; 0 ; 1 ; ou le 24/03 ?
"Cathaline" ;		xx/xx ; 0 ; 1
"Catharine" ;		25/11 ; 0 ; 1 ; ou le 24/03 ?
"Catheline" ;		25/11 ; 0 ; 1 ; ou le 24/03 ?
"Catherine" ;		25/11 ; 0 ; 0
"Cathie" ;			25/11 ; 0 ; 0 ; ou le 24/03 ?
"Cathy" ;			25/11 ; 0 ; 0 ; ou le 24/03 ou le 29/04 ?
"Catriona" ;		25/11 ; 0 ; 1 ; ou le 24/03 ?
"Cécile" ;			22/11 ; 1 ; 0
"Cécilia" ;			22/11 ; 0 ; 0
"Cédric" ;			xx/xx ; 0 ; 0 ; 07/01 ?
"Céleste" ;			14/10 ; 0 ; 0
"Célestin" ;		19/05 ; 0 ; 0
"Célestine" ;		19/05 ; 0 ; 0
"Célia" ;			22/11 ; 0 ; 0
"Céliane" ;			22/11 ; 0 ; 0
"Céline" ;			21/10 ; 1 ; 0
"César" ;			15/04 ; 0 ; 0
"Chantal" ;			12/12 ; 0 ; 0
"Charles" ;			04/11 ; 1 ; 0
"Charline" ;		xx/xx ; 0 ; 0 ; 17/07 ?
"Charlotte" ;		17/07 ; 1 ; 0
"Charly" ;			04/11 ; 0 ; 1
"Chloé" ;			05/10 ; 0 ; 0
"Chrétien" ;		xx/xx ; 0 ; 1
